time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),snowfall (cm),pressure_msl (hPa)
952164000,1.7,94,-1.3,0,0,1012.1
952167600,1.1,95,-2,0,0,1012.2
952171200,0.5,96,-2.6,0,0,1012.8
952174800,0,96,-3.1,0,0,1012.9
952178400,1.1,95,-2.1,0,0,1013.6
952182000,3.9,85,1.2,0,0,1014.1
952185600,6.1,77,3.7,0,0,1014
952189200,8.2,69,6.2,0,0,1013.7
952192800,10.1,63,8.9,0,0,1013.1
952196400,12.3,55,11.4,0,0,1012
952200000,13.2,51,11.9,0,0,1011.4
952203600,13.6,49,11.7,0,0,1010.9
952207200,13.7,49,11.6,0,0,1009.9
952210800,13.2,51,11.2,0,0,1010
952214400,11.3,71,10.1,0,0,1009.9
952218000,8.7,69,6.3,0,0,1010.1
952221600,5.9,80,3,0,0,1010.7
952225200,4.8,82,1.8,0,0,1010.6
952228800,3.9,85,0.9,0,0,1010.3
952232400,3.4,86,0.3,0,0,1010.6
952236000,3.1,87,-0.1,0,0,1010.6
952239600,2.8,82,-0.5,0,0,1010.6
952243200,2.6,83,-0.8,0,0,1010.6
952246800,2.3,84,-1.1,0,0,1010.6
952250400,2,86,-1.5,0,0,1010.1
952254000,1.6,88,-1.8,0,0,1010.3
952257600,1.3,90,-2.1,0,0,1010.5
952261200,1.1,92,-2.3,0,0,1010.4
952264800,2.5,90,-0.9,0,0,1010.9
952268400,5.9,80,3.1,0,0,1011.7
952272000,8.8,71,6.3,0,0,1011.6
952275600,11.4,64,9,0,0,1011.4
952279200,13.5,58,11.6,0,0,1011
952282800,16.2,52,14.4,0,0,1010.5
952286400,17.5,49,15.5,0,0,1009.9
952290000,18.4,47,16,0,0,1009.5
952293600,18.8,46,16.5,0,0,1009.1
952297200,17.7,51,16,0,0,1009.3
952300800,15,59,12.9,0,0,1009.6
952304400,12.8,65,10.2,0,0,1009.8
952308000,11.6,67,8.7,0,0,1010
952311600,10.7,67,7.5,0,0,1010.8
952315200,10,67,6.7,0,0,1011.3
952318800,9.5,68,6,0,0,1011.8
952322400,8.9,70,5.5,0,0,1012.2
952326000,8.7,67,5.2,0,0,1012.4
952329600,8.1,70,4.6,0,0,1012.5
952333200,7.4,72,4,0,0,1012.9
952336800,6.8,75,3.2,0,0,1013.5
952340400,6.3,77,2.7,0,0,1013.8
952344000,5.8,78,2.2,0,0,1013.6
952347600,5.5,79,1.8,0,0,1013.2
952351200,6.9,73,3,0,0,1013.3
952354800,9.4,64,5.5,0,0,1013.3
952358400,11.5,57,7.5,0,0,1012.5
952362000,12.9,55,8.8,0,0,1012
952365600,14.4,53,10.2,0.1,0,1010.9
952369200,17.3,45,13.1,0,0,1010.3
952372800,17.9,48,14.2,0.2,0,1009.3
952376400,18.2,48,13.9,0,0,1008
952380000,18.2,48,14.2,0,0,1007.1
952383600,17.5,52,13.8,0,0,1006.8
952387200,16.3,57,12.9,0,0,1006.7
952390800,15.2,63,11.9,0,0,1006.8
952394400,14.5,67,11.3,0,0,1006.9
952398000,14,70,10.7,0,0,1007.1
952401600,13.8,69,10.2,0,0,1007.5
