time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),snowfall (cm),pressure_msl (hPa)
951800400,9.7,54,4,0,0,1007.5
951804000,9.7,56,4.2,0,0,1007
951807600,10,54,4.6,0,0,1006.7
951811200,9.9,54,4.7,0,0,1006.5
951814800,9.6,53,4.5,0,0,1006.3
951818400,9.2,54,3.9,0,0,1006.1
951822000,8.7,55,3.5,0,0,1006.4
951825600,8,57,3.2,0,0,1006.6
951829200,7.1,61,2.7,0,0,1006.8
951832800,7.4,62,3.1,0,0,1007.1
951836400,9,60,5.1,0,0,1007.4
951840000,10.4,58,6.9,0,0,1007.7
951843600,11.5,58,8.4,0,0,1007.5
951847200,12.3,57,9.3,0,0,1007.3
951850800,13.4,48,10.7,0,0,1006.9
951854400,13.8,40,10.2,0,0,1006.2
951858000,13.6,34,9.4,0,0,1005.8
951861600,12.7,33,8,0,0,1006.1
951865200,11,36,6.3,0,0,1006.8
951868800,8.5,41,3.6,0,0,1007.6
951872400,6.7,45,1.7,0,0,1008.3
951876000,5.3,51,0.4,0,0,1009.4
951879600,4.2,58,-0.8,0,0,1010.4
951883200,3.3,63,-1.6,0,0,1011
951886800,2.6,66,-2.3,0,0,1011.4
951890400,2,68,-2.9,0,0,1011.7
951894000,2.4,61,-2.7,0,0,1012.1
951897600,2.1,63,-3.2,0,0,1012.7
951901200,1.8,65,-3.6,0,0,1013.7
951904800,1.4,67,-4.1,0,0,1014.5
951908400,1.2,67,-4.2,0,0,1015
951912000,1,67,-4.4,0,0,1016.3
951915600,0.9,66,-4.6,0,0,1017.5
951919200,1.1,64,-4.4,0,0,1018.2
951922800,1.2,58,-5.1,0,0,1019.2
951926400,1.5,56,-4.8,0,0,1020.1
951930000,2.1,54,-4.2,0,0,1021
951933600,2.8,52,-3.5,0,0,1021.1
951937200,4.1,49,-2.1,0,0,1021.3
951940800,4.6,48,-1.6,0,0,1021.4
951944400,4.8,47,-1.4,0,0,1021.7
951948000,4.6,47,-1.1,0,0,1021
951951600,4.1,48,-1.2,0,0,1022.1
951955200,2.8,53,-1.9,0,0,1023.2
951958800,1.4,56,-3.2,0,0,1023.9
951962400,0.5,59,-4.2,0,0,1024.9
951966000,-0.1,61,-4.8,0,0,1025.6
951969600,-0.6,63,-5.2,0,0,1026.6
951973200,-1.2,65,-5.7,0,0,1027.1
951976800,-1.8,68,-6.3,0,0,1027.4
951980400,-2.1,67,-6.5,0,0,1027.9
951984000,-2.3,66,-6.6,0,0,1028.3
951987600,-2.9,67,-7,0,0,1028.5
951991200,-3.5,69,-7.8,0,0,1028.6
951994800,-3.8,69,-7.8,0,0,1028.3
951998400,-3.4,66,-7.4,0,0,1029
952002000,-3.7,68,-7.5,0,0,1029.3
952005600,-3.1,66,-7.2,0,0,1029.4
952009200,-0.6,53,-4.8,0,0,1029.5
952012800,0.8,49,-3.3,0,0,1028.9
952016400,2.3,48,-1.6,0,0,1028.5
952020000,3.6,45,0.6,0,0,1028.7
952023600,4.4,43,1.8,0,0,1027.8
952027200,5.1,42,2.3,0,0,1026.8
952030800,5.5,40,2.4,0,0,1026.2
952034400,5.4,40,2.1,0,0,1024.7
952038000,4.8,43,1.3,0,0,1024.8
952041600,3.4,49,-0.1,0,0,1024.9
952045200,1.7,55,-2.2,0,0,1024.7
952048800,0,65,-3.5,0,0,1024.6
952052400,0.5,60,-3,0,0,1024.2
952056000,-0.6,65,-4.5,0,0,1024.2
952059600,-2.6,76,-6.5,0,0,1023.8
952063200,-3.1,78,-6.9,0,0,1023.5
952066800,-3.2,78,-7,0,0,1023.1
952070400,-3.2,77,-7.1,0,0,1022.6
952074000,-3.4,78,-7.2,0,0,1022
952077600,-3.5,78,-7.7,0,0,1021.7
952081200,-3.4,79,-7.5,0,0,1021.8
952084800,-3.4,79,-7.5,0,0,1022.1
952088400,-3.2,79,-7.4,0,0,1021.7
952092000,-1,69,-5.3,0,0,1021.2
952095600,2.4,57,-1.5,0,0,1020.6
952099200,5.1,49,1.2,0,0,1020
952102800,7.4,45,3.4,0,0,1019.2
952106400,8.9,43,5.2,0,0,1018
952110000,10.3,42,6.7,0,0,1016.6
952113600,11.2,40,7.2,0,0,1015.5
952117200,11.7,40,7.1,0,0,1014.3
952120800,11.7,40,7.1,0,0,1013.2
952124400,10.8,45,6.8,0,0,1012.9
952128000,8.6,52,4.6,0,0,1012.6
952131600,6.9,57,2.5,0,0,1012.4
952135200,6.1,61,1.5,0,0,1012.3
952138800,5.7,65,1.1,0,0,1012.2
952142400,5.6,70,1.1,0,0,1012.1
952146000,5.3,75,1,0,0,1012.2
952149600,4.7,81,0.7,0,0,1012
952153200,4.2,83,0.5,0,0,1011.8
952156800,3.4,88,0,0,0,1011.9
952160400,2.5,92,-0.7,0,0,1012.3
