time,temperature_2m (°C),relative_humidity_2m (%),apparent_temperature (°C),rain (mm),snowfall (cm),pressure_msl (hPa)
949294800,-11.4,86,-17,0,0,1021.6
949298400,-11.4,86,-17,0,0,1021
949302000,-11.4,87,-17,0,0,1020.4
949305600,-11.4,86,-17.1,0,0,1019.4
949309200,-11.4,85,-17,0,0,1018.7
949312800,-11.4,83,-17.2,0,0,1017.7
949316400,-11.4,83,-17.3,0,0,1017
949320000,-11.4,83,-17.2,0,0,1016.2
949323600,-11.3,83,-17,0,0,1016.3
949327200,-11.3,83,-16.8,0,0,1015.9
949330800,-10.2,82,-15.6,0,0,1016.2
949334400,-8.3,77,-13.4,0,0,1016.1
949338000,-6.4,74,-11.6,0,0,1015.9
949341600,-4.9,72,-10.1,0,0,1015.4
949345200,-3.5,71,-8.7,0,0,1014.9
949348800,-2.6,70,-7.9,0,0,1014.8
949352400,-2.2,69,-7.7,0,0,1015.2
949356000,-2.3,69,-7.5,0,0,1015.7
949359600,-2.8,72,-8,0,0,1016.8
949363200,-3.3,74,-8.5,0,0,1017.9
949366800,-3.8,76,-9.1,0,0,1019
949370400,-4.5,79,-9.9,0,0,1020.2
949374000,-4.7,80,-10.1,0,0,1021.2
949377600,-4.9,80,-10.1,0,0,1022.1
949381200,-5,81,-10.2,0,0,1023
949384800,-5.1,80,-10.1,0,0,1023.7
949388400,-4.9,81,-9.9,0,0,1024.5
949392000,-5.2,82,-10.2,0,0,1025.4
949395600,-5.4,81,-10.4,0,0,1025.6
949399200,-5.8,82,-10.7,0,0,1025.4
949402800,-6.2,82,-11,0,0,1026.3
949406400,-6.5,82,-11.4,0,0,1026.9
949410000,-6.8,83,-11.7,0,0,1027.8
949413600,-7,82,-11.9,0,0,1028.7
949417200,-7.2,77,-12.1,0,0,1029.5
949420800,-7.1,73,-12.2,0,0,1030.1
949424400,-6.5,69,-11.3,0,0,1030.3
949428000,-5.7,66,-10.3,0,0,1030.1
949431600,-4.1,62,-8.7,0,0,1029.6
949435200,-3.5,61,-8.3,0,0,1029
949438800,-3.3,61,-8.3,0,0,1029.2
949442400,-3.7,65,-8.2,0,0,1028.8
949446000,-4.8,75,-8.9,0,0,1028.4
949449600,-6.8,81,-11.4,0,0,1028.4
949453200,-8,84,-13,0,0,1029
949456800,-8.9,86,-13.8,0,0,1029.3
949460400,-9.8,87,-14.4,0,0,1028.7
949464000,-10.4,87,-14.8,0,0,1028.6
949467600,-10.7,87,-15.2,0,0,1028.1
949471200,-10.6,87,-15.3,0,0,1027.8
949474800,-10.8,87,-15.8,0,0,1027.1
949478400,-10.6,86,-15.9,0,0,1026.1
949482000,-10.1,86,-15.6,0,0,1025.1
949485600,-9.7,86,-15.4,0,0,1024.2
949489200,-9.1,85,-15,0,0,1022.8
949492800,-8.7,83,-14.8,0,0,1021.3
949496400,-8.1,81,-14.2,0,0,1019.8
949500000,-7.4,78,-13.5,0,0,1018.8
949503600,-6.5,76,-12.9,0,0,1017.3
949507200,-5.4,75,-11.5,0,0,1016.4
949510800,-4,73,-10.2,0,0,1015.3
949514400,-2.8,72,-8.9,0,0,1013.6
949518000,-1.1,71,-6.8,0,0,1012.3
949521600,-0.1,71,-5.6,0,0,1010.6
949525200,0.4,74,-4.5,0,0,1009.8
949528800,0.6,78,-3.9,0,0,1009.6
949532400,0.7,82,-3.8,0,0,1008.8
949536000,0.8,86,-3.6,0,0,1008.4
949539600,1,88,-3.4,0,0,1007.9
949543200,1.5,88,-3,0,0,1007.1
949546800,1.9,88,-2.7,0,0,1006.5
949550400,2.1,86,-2.7,0,0,1006.6
949554000,2,85,-2.9,0,0,1006.7
949557600,1.8,83,-3.1,0,0,1007
949561200,2,80,-2.9,0,0,1007
949564800,1.9,80,-3.2,0,0,1007.1
949568400,1.7,80,-3.8,0,0,1007.3
949572000,0.6,82,-5.2,0,0,1007.5
949575600,-0.5,80,-6.6,0,0,1008.3
949579200,-1.3,79,-7.6,0,0,1009.2
949582800,-2,80,-8.2,0,0,1010.1
949586400,-2.6,80,-8.7,0,0.07,1010.5
949590000,-2.8,78,-8.8,0,0.07,1011.8
949593600,-2.8,73,-9.3,0,0.07,1012
949597200,-2.6,69,-9.4,0,0.07,1012.8
949600800,-2.5,67,-9.2,0,0,1013
949604400,-2.7,65,-9.4,0,0,1013.4
949608000,-2.7,65,-9.3,0,0.07,1013.5
949611600,-2.7,66,-9.2,0,0.07,1014.2
949615200,-3.1,73,-8.7,0,0.14,1014.3
949618800,-3.5,77,-9.2,0,0.14,1015.6
949622400,-3.9,79,-9.6,0,0.14,1016.8
949626000,-4.2,80,-9.8,0,0.07,1017.6
949629600,-4.3,80,-10,0,0.07,1018.2
949633200,-4.5,79,-10.3,0,0,1019
949636800,-4.7,80,-10.6,0,0,1019.8
949640400,-4.9,81,-10.7,0,0,1020.9
949644000,-5.1,83,-10.7,0,0,1021.7
949647600,-4.7,84,-10.1,0,0,1022.6
949651200,-4.4,85,-9.9,0,0.07,1023.5
949654800,-4.2,85,-9.6,0,0.07,1024.1
949658400,-4.4,85,-9.7,0,0,1023.8
949662000,-4.8,85,-10.2,0,0,1025.2
949665600,-4.8,83,-10.3,0,0,1026.3
949669200,-5,82,-10.3,0,0,1027.4
949672800,-5.3,83,-10.4,0,0,1028
949676400,-5,81,-10.1,0,0,1029.2
949680000,-4.8,72,-10.6,0,0,1029.6
949683600,-4.7,70,-10.6,0,0,1030.7
949687200,-4.6,69,-10.5,0,0,1030.9
949690800,-3.5,68,-9.1,0,0,1030.5
949694400,-3.4,67,-8.8,0,0,1030.3
949698000,-3.5,67,-8.9,0,0,1030.2
949701600,-3.7,67,-8.8,0,0,1029.8
949705200,-4.2,73,-8.9,0,0,1030.5
949708800,-5.7,80,-10.5,0,0,1030.1
949712400,-6.8,83,-12,0,0,1030.3
949716000,-7.8,84,-13.1,0,0,1029.9
949719600,-8.6,85,-14,0,0,1029.8
949723200,-9.2,85,-14.4,0,0,1029.7
949726800,-9.7,84,-14.9,0,0,1029.3
949730400,-10,84,-15.2,0,0,1028.7
949734000,-10.4,83,-15.7,0,0,1028
949737600,-10.5,82,-15.9,0,0,1027.4
949741200,-10.5,81,-15.9,0,0,1026.9
949744800,-10.4,80,-16.1,0,0,1026.4
949748400,-10.3,79,-16,0,0,1025.9
949752000,-10.1,78,-16,0,0,1025.4
949755600,-10,78,-15.7,0,0,1025.4
949759200,-9.9,78,-15.4,0,0,1025.3
949762800,-8.6,74,-14.1,0,0,1025.9
949766400,-6.6,68,-11.9,0,0,1025.9
949770000,-4.4,63,-9.6,0,0,1026
949773600,-2.7,60,-7.7,0,0,1025.4
949777200,-0.7,58,-5.6,0,0,1024.5
949780800,0,57,-4.6,0,0,1024.2
949784400,0.2,59,-4.2,0,0,1024.4
949788000,-0.1,64,-3.8,0,0,1024.9
949791600,-1.4,73,-5.2,0,0,1025.5
949795200,-3.1,78,-6.9,0,0,1026
949798800,-4.7,81,-8.8,0,0,1026.5
949802400,-5.7,82,-9.9,0,0,1027.1
949806000,-6.1,82,-10.3,0,0,1027.3
949809600,-6.4,83,-11.1,0,0,1027.2
949813200,-6.6,83,-11.2,0,0,1027.7
949816800,-6.9,85,-11.5,0,0,1028.2
949820400,-7.2,84,-11.9,0,0,1028.3
949824000,-7.6,85,-12.3,0,0,1028
949827600,-7.8,86,-12.5,0,0,1027.4
949831200,-8.1,86,-12.6,0,0,1026.8
949834800,-8.1,86,-12.7,0,0,1025.4
949838400,-8.1,86,-12.7,0,0,1025
949842000,-8,86,-12.5,0,0,1024.7
949845600,-7.6,86,-12.3,0,0,1023.9
949849200,-6.3,83,-11,0,0,1023.5
949852800,-4.2,77,-8.6,0,0,1023.1
949856400,-1.7,72,-6.1,0,0,1022.7
949860000,-0.2,71,-4.6,0,0,1021.3
949863600,1.4,70,-2.9,0,0,1020.3
949867200,1.9,72,-2.4,0,0,1019.2
949870800,1.9,74,-2.3,0,0,1018.5
949874400,1.6,77,-2.3,0,0,1018.9
949878000,0.5,85,-3.3,0,0,1018.8
949881600,-1,90,-5.2,0,0,1019.1
949885200,-1.8,92,-6.2,0,0,1019.4
949888800,-2.1,91,-6.7,0,0,1019.6
949892400,-2.4,89,-7,0,0,1020.1
949896000,-2.8,87,-7.3,0,0,1020.7
